League;Home;Away;Market;Content;odds;detail
ENGLISH PREMIER LEAGUE (21);Everton;Liverpool;1X2;Everton;3.80
ENGLISH PREMIER LEAGUE (21);Everton;Liverpool;1X2;Draw;3.35
ENGLISH PREMIER LEAGUE (21);Everton;Liverpool;1X2;Liverpool;2.05
ENGLISH PREMIER LEAGUE (21);Everton;Liverpool;Over Under;Over;1.84;2.50
ENGLISH PREMIER LEAGUE (21);Everton;Liverpool;Over Under;Under;2.08;2.50
